trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
337,True,"{'a': 0, 'e': 0}",25,0,27.528630278869027,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
338,True,"{'a': 0, 'e': 0}",25,3,13.262340181607643,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
339,True,"{'a': 0, 'e': 0}",20,0,12.683637273452392,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
340,True,"{'a': 0, 'e': 0}",30,0,45.82237665041559,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
341,True,"{'a': 0, 'e': 0}",30,0,-38.681169333395545,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",0
342,True,"{'a': 0, 'e': 0}",25,0,30.35053647796137,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
343,True,"{'a': 0, 'e': 0}",20,6,-36.71214504536367,"{0: 10, 1: 0, 2: 3, 3: 1, 4: 0}",1
344,True,"{'a': 0, 'e': 0}",25,0,39.68653582664109,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
345,True,"{'a': 0, 'e': 0}",20,7,18.61604728872395,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
346,True,"{'a': 0, 'e': 0}",20,3,23.014027767491545,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
347,True,"{'a': 0, 'e': 0}",20,0,-29.096528953666265,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
348,True,"{'a': 0, 'e': 0}",20,0,-25.566857369563138,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
349,True,"{'a': 0, 'e': 0}",20,10,21.8748197822107,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
350,True,"{'a': 0, 'e': 0}",25,0,6.560789449182704,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
351,True,"{'a': 0, 'e': 0}",20,0,-13.780611430980132,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
352,True,"{'a': 0, 'e': 0}",25,11,25.16315007639913,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
353,True,"{'a': 0, 'e': 0}",30,12,27.544983806095498,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
354,True,"{'a': 0, 'e': 0}",30,11,31.403971296804144,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
355,True,"{'a': 0, 'e': 0}",20,10,14.739013537352118,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
