trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2597,False,"{'a': 0.75, 'e': 0.07439999782950295}",20,0,25.91998519166024,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
2598,False,"{'a': 0.75, 'e': 0.07432559783167345}",25,10,20.16101309251596,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2599,False,"{'a': 0.75, 'e': 0.07425127223384177}",35,20,13.907004164963427,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
2600,False,"{'a': 0.75, 'e': 0.07417702096160793}",25,10,-12.238211332509266,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
2601,False,"{'a': 0.75, 'e': 0.07410284394064631}",20,6,23.4188343171609,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2602,False,"{'a': 0.75, 'e': 0.07402874109670567}",25,0,39.21309019797374,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
2603,False,"{'a': 0.75, 'e': 0.07395471235560896}",30,8,32.40672259671911,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
2604,False,"{'a': 0.75, 'e': 0.07388075764325336}",25,6,31.989045344007906,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
2605,False,"{'a': 0.75, 'e': 0.0738068768856101}",25,8,28.620246129154566,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2606,False,"{'a': 0.75, 'e': 0.07373307000872449}",20,10,17.53116143540793,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2607,False,"{'a': 0.75, 'e': 0.07365933693871576}",20,7,17.7859368663627,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2608,False,"{'a': 0.75, 'e': 0.07358567760177705}",35,15,30.26880288936082,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
2609,False,"{'a': 0.75, 'e': 0.07351209192417528}",30,17,22.263832508296325,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2610,False,"{'a': 0.75, 'e': 0.0734385798322511}",20,8,21.423221197325965,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2611,False,"{'a': 0.75, 'e': 0.07336514125241884}",20,10,16.26383614785256,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2612,False,"{'a': 0.75, 'e': 0.07329177611116643}",20,7,22.221654355143954,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2613,False,"{'a': 0.75, 'e': 0.07321848433505526}",20,3,32.31730239208469,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2614,False,"{'a': 0.75, 'e': 0.0731452658507202}",25,14,20.493033306771757,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2615,False,"{'a': 0.75, 'e': 0.07307212058486949}",25,8,24.124137948706124,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2616,False,"{'a': 0.75, 'e': 0.07299904846428462}",35,13,29.58548310592573,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
2617,False,"{'a': 0.75, 'e': 0.07292604941582033}",30,18,21.338695028117098,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2618,False,"{'a': 0.75, 'e': 0.07285312336640451}",25,13,10.00566163199084,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
2619,False,"{'a': 0.75, 'e': 0.07278027024303811}",25,17,16.65695124528187,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2620,False,"{'a': 0.75, 'e': 0.07270748997279507}",25,12,20.3091421784244,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2621,False,"{'a': 0.75, 'e': 0.07263478248282228}",20,12,14.558449940728297,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2622,False,"{'a': 0.75, 'e': 0.07256214770033945}",25,14,6.51709812446461,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
2623,False,"{'a': 0.75, 'e': 0.07248958555263911}",20,0,32.111708288696434,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2624,False,"{'a': 0.75, 'e': 0.07241709596708648}",25,18,10.316333080824283,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2625,False,"{'a': 0.75, 'e': 0.0723446788711194}",20,3,29.471619092755464,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2626,False,"{'a': 0.75, 'e': 0.07227233419224827}",20,6,9.213269416069096,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
2627,False,"{'a': 0.75, 'e': 0.07220006185805602}",20,9,16.508734217584873,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2628,False,"{'a': 0.75, 'e': 0.07212786179619797}",25,15,12.409245292750436,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
2629,False,"{'a': 0.75, 'e': 0.07205573393440176}",25,16,-20.651835694553476,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
2630,False,"{'a': 0.75, 'e': 0.07198367820046736}",20,3,19.07168327139766,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2631,False,"{'a': 0.75, 'e': 0.0719116945222669}",20,6,22.142485708714993,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
2632,False,"{'a': 0.75, 'e': 0.07183978282774463}",20,15,8.701396968163616,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2633,False,"{'a': 0.75, 'e': 0.07176794304491689}",20,7,4.813360199926612,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
2634,False,"{'a': 0.75, 'e': 0.07169617510187197}",30,12,31.00602555574551,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
2635,False,"{'a': 0.75, 'e': 0.0716244789267701}",20,6,26.687470522954538,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2636,False,"{'a': 0.75, 'e': 0.07155285444784333}",30,8,34.88972083502207,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
2637,False,"{'a': 0.75, 'e': 0.07148130159339548}",20,12,0.488001914451746,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
2638,False,"{'a': 0.75, 'e': 0.07140982029180208}",30,13,-55.91649582957615,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 2}",1
2639,False,"{'a': 0.75, 'e': 0.07133841047151028}",25,7,15.212368456994135,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
2640,False,"{'a': 0.75, 'e': 0.07126707206103877}",25,17,11.892131219191027,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2641,False,"{'a': 0.75, 'e': 0.07119580498897773}",20,6,19.72326642916655,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
